,train,val,test
0,0029553565,DigitalSlide_C10M_14S_1,DigitalSlide_B1M_2S_1_12-1-2022_17-38-55
1,0030657581,0051341579,0043824438
2,0055483886,0035146620,DigitalSlide_B1M_1S_1_12-1-2022_17-37-26
3,30,DigitalSlide_D4M_2S_1_20210922131740429,DigitalSlide_E6M_15S_1
4,DigitalSlide_B1M_2S_1,DigitalSlide_B2M_1S_1_20210826183728179,DigitalSlide_B1M_18S_1
5,DigitalSlide_B1M_3S_1,DigitalSlide_B2M_11S_1_20210826183548302,DigitalSlide_B2M_9S_1_20210826184515465
6,DigitalSlide_B1M_5S_1,DigitalSlide_B9M_8S_1,0044135054
7,DigitalSlide_C10M_12S_1,0046723899,BB150007349-A-01-001
8,DigitalSlide_C10M_1S_1,0058263272,0042951302
9,DigitalSlide_C10M_2S_1,DigitalSlide_B9M_11S_1,DigitalSlide_B1M_14S_1
10,DigitalSlide_C10M_3S_1,0054815807,DigitalSlide_B1M_16S_1
11,DigitalSlide_C10M_9S_1,,
12,DigitalSlide_E10M_7S_1_20210914145322714,,
13,DigitalSlide_E6M_17S_1,,
14,0063366529,,
15,DigitalSlide_B1M_1S_1,,
16,DigitalSlide_B1M_3S_1_12-1-2022_17-40-14,,
17,DigitalSlide_B2M_12S_1_20210826183648767,,
18,DigitalSlide_B2M_3S_1_20210826183921228,,
19,DigitalSlide_B2M_4S_1_20210826184014839,,
20,DigitalSlide_B2M_5S_1_20210826184054251,,
21,DigitalSlide_B2M_6S_1_20210826184158873,,
22,DigitalSlide_B2M_7S_1_20210826184304020,,
23,DigitalSlide_B2M_8S_1_20210826184401956,,
24,DigitalSlide_D4M_1S_1_20210922131645990,,
25,0029468706,,
26,0048086809,,
27,0049547258,,
28,0049556653,,
29,0050394746,,
30,0057134497,,
31,B-160004549-01-B-001,,
32,DigitalSlide_B1M_19S_1,,
33,DigitalSlide_B9M_6S_1,,
34,DigitalSlide_B9M_7S_1,,
35,DigitalSlide_C10M_19S_1,,
36,0042034876,,
37,0042711961,,
38,0046877280,,
39,0047176089,,
40,0047953852,,
41,0054130784,,
42,0059072087,,
43,0063610642,,
44,DigitalSlide_B1M_15S_1,,
45,DigitalSlide_B9M_14S_1,,
46,DigitalSlide_B9M_16S_1,,
