,train,val,test
0,0029553565,0030657581,DigitalSlide_C10M_2S_1
1,0035146620,DigitalSlide_B1M_2S_1_12-1-2022_17-38-55,DigitalSlide_C10M_14S_1
2,0043824438,0055483886,DigitalSlide_C10M_9S_1
3,0051341579,DigitalSlide_B2M_3S_1_20210826183921228,DigitalSlide_B2M_6S_1_20210826184158873
4,30,DigitalSlide_B2M_9S_1_20210826184515465,DigitalSlide_B2M_5S_1_20210826184054251
5,DigitalSlide_B1M_1S_1_12-1-2022_17-37-26,DigitalSlide_B1M_1S_1,DigitalSlide_B1M_18S_1
6,DigitalSlide_B1M_2S_1,DigitalSlide_B9M_8S_1,0049556653
7,DigitalSlide_B1M_3S_1,DigitalSlide_E6M_20S_1,DigitalSlide_B1M_19S_1
8,DigitalSlide_B1M_5S_1,0063610642,DigitalSlide_B1M_14S_1
9,DigitalSlide_C10M_12S_1,DigitalSlide_B1M_16S_1,0054815807
10,DigitalSlide_C10M_1S_1,0042034876,DigitalSlide_B9M_14S_1
11,DigitalSlide_C10M_3S_1,,
12,DigitalSlide_E10M_7S_1_20210914145322714,,
13,DigitalSlide_E6M_17S_1,,
14,0063366529,,
15,DigitalSlide_B1M_3S_1_12-1-2022_17-40-14,,
16,DigitalSlide_B2M_11S_1_20210826183548302,,
17,DigitalSlide_B2M_12S_1_20210826183648767,,
18,DigitalSlide_B2M_1S_1,,
19,DigitalSlide_B2M_1S_1_20210826183728179,,
20,DigitalSlide_B2M_4S_1_20210826184014839,,
21,DigitalSlide_B2M_7S_1_20210826184304020,,
22,DigitalSlide_B2M_8S_1_20210826184401956,,
23,DigitalSlide_D4M_1S_1_20210922131645990,,
24,DigitalSlide_D4M_2S_1_20210922131740429,,
25,DigitalSlide_E6M_15S_1,,
26,0029468706,,
27,0044135054,,
28,0046723899,,
29,0048086809,,
30,0049547258,,
31,0050394746,,
32,0057134497,,
33,B-160004549-01-B-001,,
34,BB150007349-A-01-001,,
35,DigitalSlide_B9M_6S_1,,
36,DigitalSlide_B9M_7S_1,,
37,DigitalSlide_C10M_19S_1,,
38,0042711961,,
39,0042951302,,
40,0046877280,,
41,0047176089,,
42,0047953852,,
43,0054130784,,
44,0058263272,,
45,0059072087,,
46,DigitalSlide_B1M_15S_1,,
47,DigitalSlide_B9M_11S_1,,
48,DigitalSlide_B9M_16S_1,,
