,train,val,test
0,0029553565,0043824438,DigitalSlide_C10M_2S_1
1,0030657581,DigitalSlide_C10M_3S_1,DigitalSlide_B1M_1S_1_12-1-2022_17-37-26
2,0035146620,30,0051341579
3,0055483886,DigitalSlide_B2M_3S_1_20210826183921228,DigitalSlide_B2M_1S_1_20210826183728179
4,DigitalSlide_B1M_2S_1,DigitalSlide_B1M_1S_1,DigitalSlide_B2M_6S_1_20210826184158873
5,DigitalSlide_B1M_2S_1_12-1-2022_17-38-55,DigitalSlide_D4M_2S_1_20210922131740429,DigitalSlide_B2M_4S_1_20210826184014839
6,DigitalSlide_B1M_3S_1,0029468706,DigitalSlide_B9M_8S_1
7,DigitalSlide_B1M_5S_1,0046723899,DigitalSlide_B9M_6S_1
8,DigitalSlide_C10M_12S_1,0063610642,0054815807
9,DigitalSlide_C10M_14S_1,0054130784,0042951302
10,DigitalSlide_C10M_1S_1,DigitalSlide_B1M_14S_1,0046877280
11,DigitalSlide_C10M_9S_1,,
12,DigitalSlide_E10M_7S_1_20210914145322714,,
13,DigitalSlide_E6M_17S_1,,
14,0063366529,,
15,DigitalSlide_B1M_18S_1,,
16,DigitalSlide_B1M_3S_1_12-1-2022_17-40-14,,
17,DigitalSlide_B2M_11S_1_20210826183548302,,
18,DigitalSlide_B2M_12S_1_20210826183648767,,
19,DigitalSlide_B2M_5S_1_20210826184054251,,
20,DigitalSlide_B2M_7S_1_20210826184304020,,
21,DigitalSlide_B2M_8S_1_20210826184401956,,
22,DigitalSlide_B2M_9S_1_20210826184515465,,
23,DigitalSlide_D4M_1S_1_20210922131645990,,
24,DigitalSlide_E6M_15S_1,,
25,0044135054,,
26,0048086809,,
27,0049547258,,
28,0049556653,,
29,0050394746,,
30,0057134497,,
31,B-160004549-01-B-001,,
32,BB150007349-A-01-001,,
33,DigitalSlide_B1M_19S_1,,
34,DigitalSlide_B9M_7S_1,,
35,DigitalSlide_C10M_19S_1,,
36,0042034876,,
37,0042711961,,
38,0047176089,,
39,0047953852,,
40,0058263272,,
41,0059072087,,
42,DigitalSlide_B1M_15S_1,,
43,DigitalSlide_B1M_16S_1,,
44,DigitalSlide_B9M_11S_1,,
45,DigitalSlide_B9M_14S_1,,
46,DigitalSlide_B9M_16S_1,,
