,train,val,test
0,0029553565,DigitalSlide_B1M_2S_1,DigitalSlide_B1M_2S_1_12-1-2022_17-38-55
1,0030657581,DigitalSlide_E6M_17S_1,30
2,0035146620,0055483886,DigitalSlide_C10M_14S_1
3,0043824438,DigitalSlide_B1M_3S_1_12-1-2022_17-40-14,DigitalSlide_B2M_8S_1_20210826184401956
4,0051341579,DigitalSlide_B2M_1S_1_20210826183728179,DigitalSlide_B2M_3S_1_20210826183921228
5,DigitalSlide_B1M_1S_1_12-1-2022_17-37-26,DigitalSlide_B2M_1S_1,DigitalSlide_B1M_1S_1
6,DigitalSlide_B1M_3S_1,0048086809,0050394746
7,DigitalSlide_B1M_5S_1,DigitalSlide_E6M_20S_1,0044135054
8,DigitalSlide_C10M_12S_1,0054815807,0042711961
9,DigitalSlide_C10M_1S_1,DigitalSlide_B1M_16S_1,DigitalSlide_B9M_11S_1
10,DigitalSlide_C10M_2S_1,0046877280,0059072087
11,DigitalSlide_C10M_3S_1,,
12,DigitalSlide_C10M_9S_1,,
13,DigitalSlide_E10M_7S_1_20210914145322714,,
14,0063366529,,
15,DigitalSlide_B1M_18S_1,,
16,DigitalSlide_B2M_11S_1_20210826183548302,,
17,DigitalSlide_B2M_12S_1_20210826183648767,,
18,DigitalSlide_B2M_4S_1_20210826184014839,,
19,DigitalSlide_B2M_5S_1_20210826184054251,,
20,DigitalSlide_B2M_6S_1_20210826184158873,,
21,DigitalSlide_B2M_7S_1_20210826184304020,,
22,DigitalSlide_B2M_9S_1_20210826184515465,,
23,DigitalSlide_D4M_1S_1_20210922131645990,,
24,DigitalSlide_D4M_2S_1_20210922131740429,,
25,DigitalSlide_E6M_15S_1,,
26,0029468706,,
27,0046723899,,
28,0049547258,,
29,0049556653,,
30,0057134497,,
31,B-160004549-01-B-001,,
32,BB150007349-A-01-001,,
33,DigitalSlide_B1M_19S_1,,
34,DigitalSlide_B9M_6S_1,,
35,DigitalSlide_B9M_7S_1,,
36,DigitalSlide_B9M_8S_1,,
37,DigitalSlide_C10M_19S_1,,
38,0042034876,,
39,0042951302,,
40,0047176089,,
41,0047953852,,
42,0054130784,,
43,0058263272,,
44,0063610642,,
45,DigitalSlide_B1M_14S_1,,
46,DigitalSlide_B1M_15S_1,,
47,DigitalSlide_B9M_14S_1,,
48,DigitalSlide_B9M_16S_1,,
