slide_id,process,status,seg_level,sthresh,mthresh,close,use_otsu,keep_ids,exclude_ids,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn
0029468706,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0029553565,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0030657581,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0035146620,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0042034876,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0042711961,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0042951302,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0043824438,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0044135054,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0046723899,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0046877280,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0047176089,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0047953852,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0048086809,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0049547258,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0049556653,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0050394746,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0051341579,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0054130784,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0054815807,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0055483886,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0057134497,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0058263272,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0059072087,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0063366529,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
0063610642,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
30,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
B-160004549-01-B-001,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
BB150007349-A-01-001,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_B1M_14S_1,0,processed,6,15,11,4,False,none,none,100.0,16.0,8,6,150,True,four_pt
DigitalSlide_B1M_15S_1,0,processed,6,15,11,4,False,none,none,100.0,16.0,8,6,150,True,four_pt
DigitalSlide_B1M_16S_1,0,processed,6,15,11,4,False,none,none,100.0,16.0,8,6,150,True,four_pt
DigitalSlide_B1M_18S_1,0,processed,6,15,11,4,False,none,none,100.0,16.0,8,6,150,True,four_pt
DigitalSlide_B1M_19S_1,0,processed,6,15,11,4,False,none,none,100.0,16.0,8,6,150,True,four_pt
DigitalSlide_B1M_1S_1,0,processed,6,15,11,4,False,none,none,100.0,16.0,8,6,150,True,four_pt
DigitalSlide_B1M_1S_1_12-1-2022_17-37-26,0,processed,6,15,11,4,False,none,none,100.0,16.0,8,6,150,True,four_pt
